GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Code.Hub Web,gr.codehub.demomultimodule.controller,GreetingController,15,8,0,0,2,2,1,1,1,1
Code.Hub Web,gr.codehub.demomultimodule,DemoMultiModuleApplication,5,3,0,0,2,1,1,1,1,1
